year,lead
1852.57,253.14013
1852.29,213.03738
1852.02,72.29489
1851.64,110.57582
1851.26,508.30204
1850.77,558.94087
1850.06,1152.56896
1849.34,840.56629
1848.55,702.63312
1847.70,555.66691
1846.78,660.25734
1845.85,188.66959
1845.39,138.19371
1844.95,655.08782
1844.61,288.56465
1844.28,157.80126
1843.96,536.36829
1843.67,137.66938
1843.39,259.2118
1843.11,785.14476
1842.71,432.0527
1842.24,173.72601
1841.69,682.06415
1841.08,880.73202
1840.58,322.2181
1840.09,370.08632
1839.06,428.34294
1838.33,231.52172
1837.97,24.42885
1837.63,319.85525
1837.30,201.59949
1836.94,182.20552
1836.48,70.61856
1836.02,64.0835
1835.25,234.3515
1834.34,143.35231
1833.34,308.96767
1832.20,278.74723
1831.41,347.35361
1830.63,423.18209
1829.63,718.41286
1828.49,779.81885
1827.33,292.51345
1826.37,197.93251
1825.52,440.16507
1824.52,190.83375
1823.63,140.27419
1822.98,178.49561
1822.02,278.2465
1821.01,482.68161
1820.21,129.08946
1819.34,129.74581
1818.59,104.60895
1817.94,59.07896
1817.35,60.38943
1816.84,88.13352
1816.44,66.23141
1816.05,52.39334
1815.48,80.55877
1814.83,130.93123
1814.03,176.07881
1813.24,298.8394
1812.33,252.41043
1811.41,337.31699
1810.34,279.76107
1809.35,331.79884
1808.22,251.04888
1807.08,249.58646
1806.07,160.57859
1804.76,151.16518
1803.76,583.37172
1802.95,219.21224
1801.26,247.92265
1800.01,115.23202
1799.20,115.55227
1798.54,184.57384
1797.91,148.74447
1796.45,269.22196
1795.61,311.95489
1794.37,260.056
1792.96,193.472
1791.90,86.25318
1791.24,91.25287
1790.54,121.76123
1789.71,234.62623
1788.61,124.87819
1787.79,237.22875
1786.57,443.95024
1785.68,116.83408
1784.93,34.16305
1784.62,31.74792
1784.31,86.14959
1783.97,770.18954
1782.96,178.21646
1782.09,129.16414
1780.66,108.84964
1779.06,144.68268
1777.24,144.77118
1775.58,79.29242
1773.77,49.95821
1772.42,64.08713
1771.32,50.9919
1769.80,220.37657
1768.34,244.09065
1767.16,304.5588
1765.89,77.02777
1765.00,70.85188
1764.14,968.09265
1762.84,316.32866
1760.72,414.90474
1759.11,748.58608
1756.90,148.19209
1755.79,73.45983
1755.10,146.64849
1753.80,112.85449
1752.44,142.52975
1751.06,60.22205
1750.56,63.11149
1750.11,37.99868
1749.26,39.94097
1748.00,42.24828
1746.58,130.36307
1745.79,108.69921
1744.85,378.73586
1743.44,425.48804
1742.50,409.38052
1741.62,33.46869
1740.46,99.2019
1739.58,80.72392
1738.84,526.12562
1737.71,937.78661
1736.60,463.91968
1735.21,195.21219
1733.44,145.89461
1731.98,474.40804
1730.71,280.21105
1729.68,117.44447
1728.60,284.54542
1727.20,296.78874
1725.83,260.4171
1722.94,343.2879
1721.86,1142.12021
1720.67,602.47631
1719.69,271.66022
1718.74,105.8472
1717.01,395.93701
1716.23,287.11474
1714.67,261.83117
1713.14,747.6629
1712.28,490.234
1710.67,260.03404
1709.25,497.59323
1708.26,260.46886
1706.96,102.87463
1704.54,97.54889
1702.58,104.22462
1700.99,38.83974
1699.86,190.8037
1698.83,117.84679
1697.77,108.81877
1695.60,111.26997
1694.18,73.35889
